name,Food Group,Fat (g),Protein (g),Carbohydrate (g),Serving Weight 1 (g)
Restaurant Family Style Hash Browns,Restaurant Foods,8.99,2.49,26.59,94.0
Cracker Barrel Macaroni N Cheese,Restaurant Foods,11.75,6.49,15.61,175.0
Restaurant Italian Lasagna With Meat,Restaurant Foods,10.69,10.83,11.36,457.0
Olive Garden Lasagna Classico,Restaurant Foods,10.84,11.28,10.33,422.0
Olive Garden Spaghetti With Pomodoro Sauce,Restaurant Foods,1.85,4.26,17.14,478.0
Carrabbas Italian Grill Spaghetti With Pomodoro Sauce,Restaurant Foods,1.75,3.42,18.63,489.0
On The Border Cheese Enchilada,Restaurant Foods,17.74,11.67,16.2,250.0
Restaurant Mexican Cheese Enchilada,Restaurant Foods,18.47,11.24,15.45,244.0
Restaurant Mexican Cheese Tamales,Restaurant Foods,11.99,8.99,17.97,302.0
Carrabbas Italian Grill Chicken Parmesan Without Cavatappi Pasta,Restaurant Foods,10.95,19.0,7.8,339.0
Olive Garden Chicken Parmigiana Without Pasta,Restaurant Foods,11.23,15.33,12.28,304.0
Hash Browns,Restaurant Foods,12.52,3.0,35.11,156.0
Onion Rings,Restaurant Foods,14.3,4.14,33.79,48.0
French Fries,Restaurant Foods,5.13,2.51,27.5,69.0
Soup Black Bean Canned Condensed,Soups and Sauces,1.32,4.83,15.42,257.0
Soup Bean With Pork Canned Condensed,Soups and Sauces,4.42,5.88,16.97,130.0
Soup Bean With Frankfurters Canned Condensed,Soups and Sauces,5.31,7.6,16.75,263.0
Soup Bean With Ham Canned Chunky Ready-To-Serve,Soups and Sauces,3.5,5.19,11.16,243.0
Soup Chicken Canned Chunky Ready-To-Serve,Soups and Sauces,2.64,5.06,6.88,245.0
Soup Cream Of Chicken Canned Condensed,Soups and Sauces,5.77,2.38,7.16,126.0
Soup Chicken Gumbo Canned Condensed,Soups and Sauces,1.14,2.1,6.67,126.0
Soup Chunky Chicken Noodle Canned Ready-To-Serve,Soups and Sauces,1.16,3.09,4.46,530.0
Soup Chicken Vegetable Canned Condensed,Soups and Sauces,2.32,2.94,7.01,121.0
Soup Chili Beef Canned Condensed,Soups and Sauces,2.53,5.09,18.86,263.0
Manhattan Clam Chowder,Soups and Sauces,1.41,3.02,7.84,240.0
Soup Clam Chowder Manhattan Canned Condensed,Soups and Sauces,1.76,1.74,9.74,126.0
Soup Minestrone Canned Condensed,Soups and Sauces,2.05,3.48,9.17,123.0
Soup Mushroom Barley Canned Condensed,Soups and Sauces,1.8,1.5,9.6,126.0
Soup Cream Of Mushroom Canned Condensed,Soups and Sauces,5.3,1.35,6.8,126.0
Soup Mushroom With Beef Stock Canned Condensed,Soups and Sauces,3.21,2.51,7.41,126.0
Soup Pea Split With Ham Canned Condensed,Soups and Sauces,3.28,7.68,20.81,135.0
Soup Cream Of Potato Canned Condensed,Soups and Sauces,1.88,1.51,12.79,124.0
Soup Cream Of Shrimp Canned Condensed,Soups and Sauces,4.14,2.22,6.53,126.0
Soup Tomato Beef With Noodle Canned Condensed,Soups and Sauces,3.42,3.55,16.87,251.0
Soup Vegetarian Vegetable Canned Condensed,Soups and Sauces,1.58,1.72,9.78,126.0
Soup Chunky Beef Canned Ready-To-Serve,Soups and Sauces,1.11,3.97,10.08,245.0
Soup Vegetable Beef Canned Condensed,Soups and Sauces,1.51,4.45,8.11,126.0
Soup Vegetable With Beef Broth Canned Condensed,Soups and Sauces,1.56,2.42,10.7,123.0
Soup Onion Dry Mix,Soups and Sauces,0.34,7.48,65.07,7.5
Soup Cream Of Vegetable Dry Powder,Soups and Sauces,24.1,8.0,52.1,18.0
Sauce Teriyaki Ready-To-Serve,Soups and Sauces,0.02,5.93,15.56,18.0
Gravy Au Jus Canned,Soups and Sauces,0.2,1.2,2.5,59.0
Gravy Au Jus Dry,Soups and Sauces,9.63,9.2,47.49,3.0
Gravy Mushroom Canned,Soups and Sauces,2.71,1.26,5.47,238.0
Gravy Mushroom Dry Powder,Soups and Sauces,4.0,10.0,64.66,21.0
Gravy Onion Dry Mix,Soups and Sauces,3.0,9.0,67.64,24.0
Gravy Pork Dry Powder,Soups and Sauces,8.63,8.78,63.57,6.7
Sauce Sofrito Prepared From Recipe,Soups and Sauces,18.2,12.8,5.46,103.0
Soup Beef Mushroom Canned Condensed,Soups and Sauces,2.4,4.6,5.2,126.0
Soup Tomato Canned Prepared With Equal Volume Water Commercial,Soups and Sauces,0.21,0.71,7.45,248.0
Soup Ramen Noodle Any Flavor Dry,Soups and Sauces,17.59,10.17,60.26,81.0
Soup Broccoli Cheese Canned Condensed Commercial,Soups and Sauces,5.3,2.1,7.7,121.0
Soup Swanson Beef Broth Lower Sodium,Soups and Sauces,0.08,1.2,0.21,213.0
Soup Swanson Vegetable Broth,Soups and Sauces,0.07,0.23,1.02,220.0
Smart Soup Indian Bean Masala,Soups and Sauces,0.88,3.3,10.5,283.0
Smart Soup Moroccan Chick Pea,Soups and Sauces,1.06,2.0,9.7,283.0
Smart Soup Thai Coconut Curry,Soups and Sauces,1.06,0.8,6.5,283.0
Smart Soup Vietnamese Carrot Lemongrass,Soups and Sauces,1.06,1.3,8.2,283.0
Sauce Pesto Mezzetta Napa Valley Bistro Basil Pesto Ready-To-Serve,Soups and Sauces,49.88,6.69,5.12,60.0
Sriracha,Soups and Sauces,0.93,1.93,19.16,6.5
Sauce Hot Chile Sriracha Cha! By Texas Pete,Soups and Sauces,0.98,2.02,22.73,6.9
Sauce Hot Chile Sriracha Tuong Ot Sriracha,Soups and Sauces,0.9,1.86,15.87,6.2
Soup Vegetable Beef Microwavable Ready-To-Serve Single Brand,Soups and Sauces,0.7,6.2,3.3,292.0
Soup Beef And Vegetables Canned Ready-To-Serve,Soups and Sauces,1.16,3.18,6.16,250.0
Sauce Cheese Ready-To-Serve,Soups and Sauces,13.29,6.71,6.83,63.0
Pasta Sauce,Soups and Sauces,1.61,1.39,7.43,132.0
Soup Cream Of Asparagus Canned Condensed,Soups and Sauces,3.26,1.82,8.52,126.0
Soup Beef Broth Or Bouillon Canned Ready-To-Serve,Soups and Sauces,0.22,1.14,0.04,240.0
Soup Beef Noodle Canned Condensed,Soups and Sauces,2.46,3.85,7.16,125.0
Soup Cream Of Celery Canned Condensed,Soups and Sauces,4.46,1.32,7.03,126.0
Soup Cheese Canned Condensed,Soups and Sauces,3.92,0.8,11.3,124.0
Soup Chicken Broth Canned Condensed,Soups and Sauces,1.04,4.42,0.75,126.0
Soup Chicken Noodle Canned Condensed,Soups and Sauces,1.55,2.37,6.07,124.0
Soup Chicken Rice Canned Chunky Ready-To-Serve,Soups and Sauces,1.33,5.11,5.41,240.0
Soup Chicken With Rice Canned Condensed,Soups and Sauces,1.56,1.84,11.57,126.0
Soup Chicken And Vegetable Canned Ready-To-Serve,Soups and Sauces,0.73,1.97,4.68,255.0
Soup Clam Chowder New England Canned Condensed,Soups and Sauces,2.06,3.17,10.32,126.0
Soup Beef Broth Bouillon And Consomme Canned Condensed,Soups and Sauces,0.0,2.52,0.32,124.0
Soup Lentil With Ham Canned Ready-To-Serve,Soups and Sauces,1.12,3.74,8.16,248.0
Canned Minestrone,Soups and Sauces,1.17,2.13,8.64,240.0
Soup Onion Canned Condensed,Soups and Sauces,1.42,3.06,6.68,123.0
Soup Cream Of Onion Canned Condensed,Soups and Sauces,4.2,2.2,10.4,126.0
Soup Oyster Stew Canned Condensed,Soups and Sauces,3.13,1.72,3.32,123.0
Soup Pea Green Canned Condensed,Soups and Sauces,2.23,6.54,20.18,128.0
Soup Pea Split With Ham Canned Chunky Ready-To-Serve,Soups and Sauces,1.66,4.62,11.17,240.0
Campbells Red And White Chicken Noodle Soup Condensed,Soups and Sauces,1.53,2.37,5.97,123.0
Soup Tomato Rice Canned Condensed,Soups and Sauces,2.12,1.64,17.08,129.0
Soup Turkey Chunky Canned Ready-To-Serve,Soups and Sauces,1.87,4.33,5.96,236.0
Soup Chunky Vegetable Canned Ready-To-Serve,Soups and Sauces,0.36,1.14,7.9,230.0
Soup Beef Broth Or Bouillon Powder Dry,Soups and Sauces,8.89,15.97,17.4,3.6
Soup Beef Broth Cubed Dry,Soups and Sauces,4.0,17.3,16.1,3.6
Soup Chicken Broth Or Bouillon Dry,Soups and Sauces,13.88,16.66,18.01,4.0
Soup Chicken Broth Cubes Dry,Soups and Sauces,4.7,14.6,23.5,4.8
Gravy Beef Canned Ready-To-Serve,Soups and Sauces,2.36,3.75,4.81,233.0
Gravy Brown Dry,Soups and Sauces,9.61,10.74,59.38,6.0
Gravy Chicken Canned Or Bottled Ready-To-Serve,Soups and Sauces,2.62,0.71,5.29,57.0
Gravy Chicken Dry,Soups and Sauces,9.73,11.27,62.09,8.0
